Pose Name, Angle 1, Angle 2, Angle 3, Angle 4, Angle 5, Angle 6, Angle 7, Angle 8, Angle 9, Angle 10, 
Quad Stretch Right, 57.35612431929587,113.0903418760027,349.08973264962714,161.33494888198078,173.9179706298038,23.467898892343673,176.5022200195386,183.51532487514004,242.92251044987847
Quad Stretch Left, 12.286831312310852,199.38395800011506,304.92758949553183,241.50489120161694,180.86775931959014,179.1151934391655,188.41092128232984,332.34557001720424,177.60659856410322
Lunge Right, 170.16837756797085,189.71573976525292,171.99527114270717,192.3370428404814,98.33284060803352,263.3368720455463,236.61148642388846,187.80698431817262,68.53612076905166
Lunge Left, 182.52611691161954,173.32925934727618,182.23511609999198,168.84907483149487,263.54118362128133,96.45881637871865,127.04527206598075,176.41638102856203,289.71330356458105
L,u,n,g, ,L,e,f,t
182.52611691161954,173.32925934727618,182.23511609999198,168.84907483149487,263.54118362128133,96.45881637871865,127.04527206598075,176.41638102856203,289.71330356458105
L,u,n,g,e, ,L,e,f,t
182.52611691161954,173.32925934727618,182.23511609999198,168.84907483149487,263.54118362128133,96.45881637871865,254.5387822595581,127.04527206598075,176.41638102856203,289.71330356458105
Q,u,a,d, ,S,t,r,e,t,c,h, ,R,i,g,h,t
57.35612431929587,113.0903418760027,349.08973264962714,161.33494888198078,173.9179706298038,23.467898892343673,194.03624346792648,176.5022200195386,183.51532487514004,242.92251044987847
Q,u,a,d, ,S,t,r,e,t,c,h, ,R,i,g,h,t
57.35612431929587,113.0903418760027,349.08973264962714,161.33494888198078,173.9179706298038,23.467898892343673,194.03624346792648,176.5022200195386,183.51532487514004,242.92251044987847
L,u,n,g,e, ,L,e,f,t,L,u,n,g,e, ,L,e,f,t
182.52611691161954,173.32925934727618,182.23511609999198,168.84907483149487,263.54118362128133,96.45881637871865,254.5387822595581,127.04527206598075,176.41638102856203,289.71330356458105
L,u,n,g,e, ,L,e,f,t
182.52611691161954,173.32925934727618,182.23511609999198,168.84907483149487,263.54118362128133,96.45881637871865,254.5387822595581,127.04527206598075,176.41638102856203,289.71330356458105
S,h,o,u,l,d,e,r, ,S,t,r,e,t,c,h, ,R,i,g,h,t
150.856908280908,207.80923983230878,147.46287255974497,162.85721806332793,151.2730044205526,177.2423263610896,175.76199291573147,170.2669507310252,175.48831422985066,185.80424126307398
L,u,n,g,e, ,R,i,g,h,t
170.16837756797085,189.71573976525292,171.99527114270717,192.3370428404814,98.33284060803352,263.3368720455463,106.34801971937333,236.61148642388846,187.80698431817262,68.53612076905166
Q,u,a,d, ,S,t,r,e,t,c,h, ,L,e,f,t
12.286831312310852,199.38395800011506,304.92758949553183,241.50489120161694,180.86775931959014,179.1151934391655,111.09162197217721,188.41092128232984,332.34557001720424,177.60659856410322
S,h,o,u,l,d,e,r, ,S,t,r,e,t,c,h, ,L,e,f,t
213.27984222429626,193.34283369842305,212.40852525888647,147.57842628324005,191.6389448187346,184.16523233035608,175.79223183520665,208.97898786754098,183.34803239903474,182.33188499916432
L,e,f,t, ,L,u,n,g,e
25.773397004843233,190.63444408218484,332.75473065910296,171.79426471570767,142.3599055529979,224.5019430556606,141.90401375137893,221.55458118013232,185.69450917224307,186.6807440359646
R,i,g,h,t, ,L,u,n,g,e
28.71878103676389,186.23270609966966,333.48471856372527,166.91393238972063,137.99974018444678,173.77393291387162,168.57754965783272,217.24734270020613,133.7801838509078,223.73930908265046
